1,"""I’d cross the Delaware, but only if there’s Wi-Fi."" – George Washington",,,,
2,"""Democracy is like a potluck. Bring the heat or don’t even show up."" – John Adams",,,,
3,"""Wrote the Declaration, but my vote writes the future #NoCap."" – Thomas Jefferson",,,,
4,"""Who needs Federalist Papers when you got that drip?"" – James Madison",,,,
5,"""My doctrine? Vote or imma make this a rant for 100 years straight."" – James Monroe",,,,
6,"""I walked uphill both ways to vote. Your turn, bro."" – John Quincy Adams",,,,
7,"""If you don’t vote, imma duel you, no cap. Real rizzlers vote."" – Andrew Jackson",,,,
8,"""Voting is the only tax you actually wanna pay, fr fr."" – Martin Van Buren",,,,
9,"""Long speeches don’t kill anymore, but apathy will."" – William Henry Harrison",,,,
10,"""Vetoing elections is a bad vibe. Vote up."" – John Tyler",,,,
11,"""Manifest destiny is mid. Manifest your vote instead, fr."" – James K. Polk",,,,
12,"""I won wars, but you gotta stop taking L’s on Election Day."" – Zachary Taylor",,,,
13,"""Filling those ballots > Fillmore, no cap."" – Millard Fillmore",,,,
14,"""Pierce the ballot, it’s giving ‘cool af.’"" – Franklin Pierce",,,,
15,"""Not every W is guaranteed, but democracy is a dub if you vote."" – Ulysses S. Grant",,,,
16,"""Give me liberty or, idk, just vote fam."" – Abraham Lincoln",,,,
17,"""Get your vote in, or you’ll be left behind like a bad haircut—trust me!"" – Andrew Jackson",,,,
18,"""Not every W is guaranteed, but democracy is a dub if you vote."" – Ulysses S. Grant",,,,
19,"""Don’t make it another Rutherford tie-breaker, we ain’t tryna catch drama."" – Rutherford B. Hayes",,,,
20,"""Grr Mondays"" – James Gafield",,,,
21,"""This ‘stache didn’t build democracy, but your vote can #BigMoves."" – Chester A. Arthur",,,,
22,"""Don’t wait around like I did—get to the polls and make your voice count!"" – Grover Cleveland",,,,
23,"""A ballot > any mustache. Facts."" – Benjamin Harrison",,,,
24,"""Voting is like choosing the best slice of pizza—don’t let it get cold while you’re sitting on the couch!"" – William McKinley",,,,
25,"""Voting > charging up San Juan Hill. Same vibes, less sweat."" – Theodore Roosevelt",,,,
26,"""Think voting’s hard? Try getting out of this tub fr fr"" – William Howard Taft",,,,
27,"""Make democracy great again, lol jk, but seriously—vote."" – Woodrow Wilson",,,,
28,"""Voting is like the Teapot Dome—don’t let others take your treasure while you’re not watching!"" – Warren G. Harding",,,,
29,"""Voting is like Ice Spice dropping a hit—if you’re not in the mix, you’re missing out on the vibe!"" – Calvin Coolidge",,,,
30,"""Voting > charging up San Juan Hill. Same vibes, less sweat."" – Theodore Roosevelt",,,,
31,"""Vote like it's for my fourth term"" – FDR",,,,
32,"""Dropped the biggest bombshell: voting is lowkey lit."" – Harry S. Truman",,,,
33,"""Voting isn’t just a vibe check; it’s the Wi-Fi password to democracy. Get connected!"" — Dwight D. Eisenhower",,,,
34,"""Ask not what your country can do, ask if Dominion counted your vote."" – John F. Kennedy",,,,
35,"""Voting = BBQ. It’s messy but worth it, no cap."" – Lyndon B. Johnson",,,,
36,"""Voting = BBQ. It’s messy but worth it, no cap."" – Lyndon B. Johnson",,,,
37,"""Voting’s your best pardon from apathy. Trust."" – Gerald Ford",,,,
38,"""I build houses, but your vote builds democracy #DIYVibes."" – Jimmy Carter",,,,
39,"""Morning in America doesn’t start ‘til you vote. Vibe check?"" – Ronald Reagan",,,,
40,"""A mustache may make the man, but a vote makes the democracy. Straight facts."" – Chester A. Arthur",,,,
41,"""In Springfield, they're eating the dogs—the people that came in. They're eating the no caps."" – Donald Trump",,,,
42,"""Don’t misunderestimate your vote #ForReal."" – George W. Bush",,,,
43,"""Yes we can… but only if you hit the polls, fam."" – Barack Obama",,,,
44,"""In Springfield, they're eating the dogs—the people that came in. They're eating the no caps."" – Donald Trump",,,,
45,"""They call me ‘Old Rough and Ready,’ but I’m always ready to hit the polls."" – Zachary Taylor",,,,
46,"""I would’ve worn a wig to the polls, but democracy doesn’t care about hairstyles."" – George Washington",,,,
